videoID,title,release_year,Director
1,"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson"
2,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson"
3,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson"
4,"Star Wars Episode I: The Phantom Menace",1999,"George Lucas"
5,"Star Wars Episode II: Attack of the Clones",2002,"George Lucas"
6,"Star Wars Episode III: Revenge of the Sith",2005,"George Lucas"
7,"Star Wars Episode IV: A New Hope",1977,"George Lucas"
8,"Star Wars Episode V: The Empire Strikes Back",1980,"Irvin Kershner"
9,"Star Wars Episode VI: Return of the Jedi",1983,"Richard Marquand"
10,"The Big Lebowski",1998,"Joel and Ethan Coen"
11,"Monster House",2006,"Gil Kenan"
12,"Life Is Beautiful",1997,"Roberto Benigni"
13,"My Neighbor Totoro",1988,"Hayao Miyazaki"
14,"Dumb and Dumber",1994,"Peter Farrelly"
15,"Tears of the Sun",2003,"Antoine Fuqua"
16,"The Godfather",1972,"Francis Ford Coppola"
17,Heat,1995,"Michael Mann"
18,"Schindler's List",1993,"Steven Spielberg"
19,"A View to a Kill",1985,"John Glen"
20,"Free Willy",1993,"Simon Wincer"
